OBJECTID,COUNTER,LOCATION,LAT,LON,INSTALL_DATE,NOTES,GLOBALID,CNN_NODE,CNN_BLOCK,IDENTIFIER,shape,SF Find Neighborhoods 2,Current Police Districts 2,Current Supervisor Districts 2,Analysis Neighborhoods 2,Neighborhoods
17,50,7th Ave south of Kirkham NB,37.759311,-122.463835,20101115000000,,,"27,143,000","361,000",100005214,POINT (-122.46382 37.759304),109,7,8,14,109
62,13,Market St East of 2nd St WB,37.789694,-122.400909,20160130000000,,,"30,734,000","8,742,203",100018391,POINT (-122.400894 37.78969),108,6,10,8,108
42,33,Sloat Blvd west of 24th Ave WB,37.73458,-122.480474,20151024000000,,,"23,217,000","11,953,201",100018380,POINT (-122.48046 37.734577),40,10,8,35,40
37,21,Page East of Divisadero WB,37.772334,-122.436218,20151017000000,,,"26,028,000","10,178,000",100018389,POINT (-122.4362 37.772327),26,4,11,3,26
56,62,North Point West of Polk St EB,37.805182,-122.424477,20110420000000,,,"26,704,000","9,697,000",100005207,POINT (-122.42446 37.805176),98,6,6,32,98
27,69,Kirkham west of 7th Avenue,37.760382,-122.464446,20160405000000,,,"27,141,000","7,845,000",100030569,POINT (-122.46443 37.760376),109,10,8,14,109
13,64,Lake St west of Arguello,37.786903,-122.459525,20110423000000,,,"27,578,000","8,009,000",100005228,POINT (-122.45951 37.7869),4,8,6,11,4
52,17,7th St North of Townsend St NB,37.772399,-122.402388,20150912000000,,,"23,856,000","376,000",100018417,POINT (-122.402374 37.772396),32,1,10,34,32
23,9,Market St East of Castro EB,37.762821,-122.434792,20151010000000,,,"25,814,000","8,767,101",100018419,POINT (-122.43478 37.762817),38,3,5,5,38
71,25,Embarcadero South of Bay Street NB,37.806476,-122.40526,20160116000000,,,"24,881,000","12,559,201",100018410,POINT (-122.40525 37.806473),77,6,3,23,77
66,36,San Jose Av east of St Mary's EB,37.73522,-122.42798,20151107000000,,,"21,865,000","11,439,101",100018378,POINT (-122.42781 37.735672),59,9,5,10,59
