COUNTER_LOCATION (group),Hour of Collection Timestamp,Year of Collection Timestamp,Average Bike Count
7th Ave north of Kirkham SB,14,2017,6.123287671
7th Ave north of Kirkham SB,15,2016,6.915300546
7th Ave north of Kirkham SB,15,2017,6.917808219
7th Ave north of Kirkham SB,16,2016,10.076502732
7th Ave north of Kirkham SB,16,2017,10.268493151
7th Ave north of Kirkham SB,17,2016,13.639344262
7th Ave north of Kirkham SB,17,2017,14.021917808
7th Ave north of Kirkham SB,18,2016,14.275956284
7th Ave north of Kirkham SB,18,2017,13.797260274
7th Ave north of Kirkham SB,19,2016,10.803278689
7th Ave north of Kirkham SB,19,2017,11.021917808
7th Ave north of Kirkham SB,20,2016,5.849726776
7th Ave north of Kirkham SB,20,2017,5.969863014
7th Ave north of Kirkham SB,21,2016,3.928961749
7th Ave north of Kirkham SB,21,2017,3.271232877
7th Ave north of Kirkham SB,22,2016,2.844262295
7th Ave north of Kirkham SB,22,2017,2.334246575
7th Ave north of Kirkham SB,23,2016,2.215846995
7th Ave north of Kirkham SB,23,2017,1.671232877
7th Ave south of Kirkham NB,0,2016,0.270491803
7th Ave south of Kirkham NB,0,2017,0.202739726
7th Ave south of Kirkham NB,1,2016,0.133879781
7th Ave south of Kirkham NB,1,2017,0.120547945
7th Ave south of Kirkham NB,2,2016,0.087431694
7th Ave south of Kirkham NB,2,2017,0.093150685
7th Ave south of Kirkham NB,3,2016,0.084699454
7th Ave south of Kirkham NB,3,2017,0.084931507
7th Ave south of Kirkham NB,4,2016,0.180327869
7th Ave south of Kirkham NB,4,2017,0.227397260
7th Ave south of Kirkham NB,5,2016,2.136612022
7th Ave south of Kirkham NB,5,2017,2.350684932
7th Ave south of Kirkham NB,6,2016,7.142076503
7th Ave south of Kirkham NB,6,2017,6.191780822
7th Ave south of Kirkham NB,7,2016,13.341530055
7th Ave south of Kirkham NB,7,2017,12.024657534
7th Ave south of Kirkham NB,8,2016,16.076502732
7th Ave south of Kirkham NB,8,2017,16.112328767
7th Ave south of Kirkham NB,9,2016,12.013661202
7th Ave south of Kirkham NB,9,2017,10.843835616
7th Ave south of Kirkham NB,10,2016,8.267759563
7th Ave south of Kirkham NB,10,2017,8.356164384
7th Ave south of Kirkham NB,11,2016,6.855191257
7th Ave south of Kirkham NB,11,2017,7.063013699
7th Ave south of Kirkham NB,12,2016,7.008196721
7th Ave south of Kirkham NB,12,2017,6.783561644
7th Ave south of Kirkham NB,13,2016,6.598360656
7th Ave south of Kirkham NB,13,2017,6.273972603
7th Ave south of Kirkham NB,14,2016,6.245901639
7th Ave south of Kirkham NB,14,2017,6.063013699
7th Ave south of Kirkham NB,15,2016,6.748633880
7th Ave south of Kirkham NB,15,2017,6.569863014
7th Ave south of Kirkham NB,16,2016,7.060109290
7th Ave south of Kirkham NB,16,2017,6.282191781
7th Ave south of Kirkham NB,17,2016,7.650273224
7th Ave south of Kirkham NB,17,2017,6.832876712
7th Ave south of Kirkham NB,18,2016,5.685792350
7th Ave south of Kirkham NB,18,2017,4.454794521
7th Ave south of Kirkham NB,19,2016,3.554644809
7th Ave south of Kirkham NB,19,2017,2.679452055
7th Ave south of Kirkham NB,20,2016,2.292349727
7th Ave south of Kirkham NB,20,2017,1.953424658
